Metric,Period,First Value
Non-DFR - Flight Time - Calls Responded To (Hours:Mins),01-25,00:00
Non-DFR - Flight Time - Calls Responded To (Hours:Mins),02-25,00:00
Non-DFR - Flight Time - Calls Responded To (Hours:Mins),03-25,00:00
Non-DFR - Flight Time - Calls Responded To (Hours:Mins),04-25,00:00
Non-DFR - Flight Time - Calls Responded To (Hours:Mins),05-25,00:00
Non-DFR - Flight Time - Calls Responded To (Hours:Mins),06-25,12:42
Non-DFR - Flight Time - Calls Responded To (Hours:Mins),07-25,00:00
Non-DFR - Flight Time - Calls Responded To (Hours:Mins),08-25,00:58
Non-DFR - Flight Time - Calls Responded To (Hours:Mins),09-25,04:21
Non-DFR - Flight Time - Calls Responded To (Hours:Mins),10-25,00:00
Non-DFR - Flight Time - Calls Responded To (Hours:Mins),11-25,00:00
Non-DFR - Flight Time - Calls Responded To (Hours:Mins),12-25,00:00
Non-DFR - Flight Time - Calls Responded To (Hours:Mins),01-26,0:00
Non-DFR - Flight Time - Calls Responded To (Hours:Mins),Total,18:01
