Tracked Items,Period,First Value
Application(s) - Crossing Guard,11-24,0
Application(s) - Crossing Guard,12-24,2
Application(s) - Crossing Guard,01-25,4
Application(s) - Crossing Guard,02-25,3
Application(s) - Crossing Guard,03-25,3
Application(s) - Crossing Guard,04-25,2
Application(s) - Crossing Guard,05-25,4
Application(s) - Crossing Guard,06-25,2
Application(s) - Crossing Guard,07-25,0
Application(s) - Crossing Guard,08-25,4
Application(s) - Crossing Guard,09-25,4
Application(s) - Crossing Guard,10-25,5
Application(s) - Crossing Guard,11-25,2
Assigned MVA Hit & Run Investigations,11-24,55
Assigned MVA Hit & Run Investigations,12-24,52
Assigned MVA Hit & Run Investigations,01-25,45
Assigned MVA Hit & Run Investigations,02-25,41
Assigned MVA Hit & Run Investigations,03-25,50
Assigned MVA Hit & Run Investigations,04-25,19
Assigned MVA Hit & Run Investigations,05-25,36
Assigned MVA Hit & Run Investigations,06-25,56
Assigned MVA Hit & Run Investigations,07-25,44
Assigned MVA Hit & Run Investigations,08-25,40
Assigned MVA Hit & Run Investigations,09-25,34
Assigned MVA Hit & Run Investigations,10-25,45
Assigned MVA Hit & Run Investigations,11-25,21
Background(s) - H-Cop,11-24,2
Background(s) - H-Cop,12-24,0
Background(s) - H-Cop,01-25,1
Background(s) - H-Cop,02-25,0
Background(s) - H-Cop,03-25,0
Background(s) - H-Cop,04-25,0
Background(s) - H-Cop,05-25,0
Background(s) - H-Cop,06-25,0
Background(s) - H-Cop,07-25,0
Background(s) - H-Cop,08-25,0
Background(s) - H-Cop,09-25,6
Background(s) - H-Cop,10-25,6
Background(s) - H-Cop,11-25,6
Background(s) - Tow Company,11-24,0
Background(s) - Tow Company,12-24,7
Background(s) - Tow Company,01-25,0
Background(s) - Tow Company,02-25,0
Background(s) - Tow Company,03-25,0
Background(s) - Tow Company,04-25,0
Background(s) - Tow Company,05-25,0
Background(s) - Tow Company,06-25,0
Background(s) - Tow Company,07-25,0
Background(s) - Tow Company,08-25,0
Background(s) - Tow Company,09-25,0
Background(s) - Tow Company,10-25,0
Background(s) - Tow Company,11-25,0
BWC Review(s),11-24,0
BWC Review(s),12-24,0
BWC Review(s),01-25,0
BWC Review(s),02-25,0
BWC Review(s),03-25,1
BWC Review(s),04-25,0
BWC Review(s),05-25,0
BWC Review(s),06-25,0
BWC Review(s),07-25,5
BWC Review(s),08-25,0
BWC Review(s),09-25,5
BWC Review(s),10-25,12
BWC Review(s),11-25,9
City Ordinance Violation(s) Issued,11-24,58
City Ordinance Violation(s) Issued,12-24,34
City Ordinance Violation(s) Issued,01-25,67
City Ordinance Violation(s) Issued,02-25,47
City Ordinance Violation(s) Issued,03-25,93
City Ordinance Violation(s) Issued,04-25,72
City Ordinance Violation(s) Issued,05-25,79
City Ordinance Violation(s) Issued,06-25,93
City Ordinance Violation(s) Issued,07-25,71
City Ordinance Violation(s) Issued,08-25,54
City Ordinance Violation(s) Issued,09-25,57
City Ordinance Violation(s) Issued,10-25,31
City Ordinance Violation(s) Issued,11-25,24
City Ordinance Warning(s) Issued,11-24,0
City Ordinance Warning(s) Issued,12-24,1
City Ordinance Warning(s) Issued,01-25,7
City Ordinance Warning(s) Issued,02-25,16
City Ordinance Warning(s) Issued,03-25,0
City Ordinance Warning(s) Issued,04-25,0
City Ordinance Warning(s) Issued,05-25,0
City Ordinance Warning(s) Issued,06-25,1
City Ordinance Warning(s) Issued,07-25,6
City Ordinance Warning(s) Issued,08-25,6
City Ordinance Warning(s) Issued,09-25,1
City Ordinance Warning(s) Issued,10-25,3
City Ordinance Warning(s) Issued,11-25,3
Closed MVA Hit & Run Investigations,11-24,34
Closed MVA Hit & Run Investigations,12-24,34
Closed MVA Hit & Run Investigations,01-25,40
Closed MVA Hit & Run Investigations,02-25,35
Closed MVA Hit & Run Investigations,03-25,55
Closed MVA Hit & Run Investigations,04-25,24
Closed MVA Hit & Run Investigations,05-25,28
Closed MVA Hit & Run Investigations,06-25,36
Closed MVA Hit & Run Investigations,07-25,49
Closed MVA Hit & Run Investigations,08-25,50
Closed MVA Hit & Run Investigations,09-25,29
Closed MVA Hit & Run Investigations,10-25,30
Closed MVA Hit & Run Investigations,11-25,23
Criminal Warrant Arrest,11-24,0
Criminal Warrant Arrest,12-24,0
Criminal Warrant Arrest,01-25,0
Criminal Warrant Arrest,02-25,0
Criminal Warrant Arrest,03-25,0
Criminal Warrant Arrest,04-25,0
Criminal Warrant Arrest,05-25,0
Criminal Warrant Arrest,06-25,0
Criminal Warrant Arrest,07-25,0
Criminal Warrant Arrest,08-25,1
Criminal Warrant Arrest,09-25,0
Criminal Warrant Arrest,10-25,1
Criminal Warrant Arrest,11-25,0
DUI Arrest,11-24,0
DUI Arrest,12-24,0
DUI Arrest,01-25,0
DUI Arrest,02-25,0
