Tracked Items,Sum of Total,Month
EWS Notifications,0,01-25
EWS Notifications,0,02-25
EWS Notifications,0,03-25
EWS Notifications,0,04-25
EWS Notifications,0,05-25
EWS Notifications,0,06-25
EWS Notifications,0,07-25
EWS Notifications,0,08-25
EWS Notifications,0,09-25
EWS Notifications,0,10-25
EWS Notifications,0,11-25
EWS Notifications,0,12-25
EWS Notifications,1,01-26
FID Cards - Denied,1,01-25
FID Cards - Denied,3,02-25
FID Cards - Denied,4,03-25
FID Cards - Denied,0,04-25
FID Cards - Denied,1,05-25
FID Cards - Denied,1,06-25
FID Cards - Denied,2,07-25
FID Cards - Denied,1,08-25
FID Cards - Denied,0,09-25
FID Cards - Denied,0,10-25
FID Cards - Denied,0,11-25
FID Cards - Denied,0,12-25
FID Cards - Denied,6,01-26
FID Cards - Issued,41,01-25
FID Cards - Issued,60,02-25
FID Cards - Issued,49,03-25
FID Cards - Issued,34,04-25
FID Cards - Issued,39,05-25
FID Cards - Issued,24,06-25
FID Cards - Issued,25,07-25
FID Cards - Issued,35,08-25
FID Cards - Issued,33,09-25
FID Cards - Issued,26,10-25
FID Cards - Issued,29,11-25
FID Cards - Issued,28,12-25
FID Cards - Issued,57,01-26
Firearms Disposition Request,1,01-25
Firearms Disposition Request,0,02-25
Firearms Disposition Request,0,03-25
Firearms Disposition Request,0,04-25
Firearms Disposition Request,0,05-25
Firearms Disposition Request,12,06-25
Firearms Disposition Request,0,07-25
Firearms Disposition Request,6,08-25
Firearms Disposition Request,0,09-25
Firearms Disposition Request,0,10-25
Firearms Disposition Request,0,11-25
Firearms Disposition Request,0,12-25
Firearms Disposition Request,0,01-26
Handicapped Placard(s) - Denied,0,01-25
Handicapped Placard(s) - Denied,0,02-25
Handicapped Placard(s) - Denied,0,03-25
Handicapped Placard(s) - Denied,0,04-25
Handicapped Placard(s) - Denied,0,05-25
Handicapped Placard(s) - Denied,0,06-25
Handicapped Placard(s) - Denied,0,07-25
Handicapped Placard(s) - Denied,0,08-25
Handicapped Placard(s) - Denied,0,09-25
Handicapped Placard(s) - Denied,0,10-25
Handicapped Placard(s) - Denied,0,11-25
Handicapped Placard(s) - Denied,0,12-25
Handicapped Placard(s) - Denied,0,01-26
Handicapped Placard(s) - Issued,14,01-25
Handicapped Placard(s) - Issued,3,02-25
Handicapped Placard(s) - Issued,4,03-25
Handicapped Placard(s) - Issued,18,04-25
Handicapped Placard(s) - Issued,6,05-25
Handicapped Placard(s) - Issued,8,06-25
Handicapped Placard(s) - Issued,14,07-25
Handicapped Placard(s) - Issued,5,08-25
Handicapped Placard(s) - Issued,12,09-25
Handicapped Placard(s) - Issued,0,10-25
Handicapped Placard(s) - Issued,0,11-25
Handicapped Placard(s) - Issued,1,12-25
Handicapped Placard(s) - Issued,13,01-26
Injured on Duty,4,01-25
Injured on Duty,4,02-25
Injured on Duty,3,03-25
Injured on Duty,0,04-25
Injured on Duty,2,05-25
Injured on Duty,2,06-25
Injured on Duty,1,07-25
Injured on Duty,4,08-25
Injured on Duty,12,09-25
Injured on Duty,0,10-25
Injured on Duty,0,11-25
Injured on Duty,0,12-25
Injured on Duty,6,01-26
Investigation Review - Background,2,01-25
Investigation Review - Background,1,02-25
Investigation Review - Background,0,03-25
Investigation Review - Background,10,04-25
Investigation Review - Background,0,05-25
Investigation Review - Background,4,06-25
Investigation Review - Background,0,07-25
Investigation Review - Background,0,08-25
Investigation Review - Background,1,09-25
Investigation Review - Background,0,10-25
Investigation Review - Background,0,11-25
Investigation Review - Background,0,12-25
Investigation Review - Background,0,01-26
Investigation Review - Criminal Intake,1,01-25
Investigation Review - Criminal Intake,0,02-25
Investigation Review - Criminal Intake,0,03-25
Investigation Review - Criminal Intake,0,04-25
Investigation Review - Criminal Intake,0,05-25
Investigation Review - Criminal Intake,0,06-25
Investigation Review - Criminal Intake,0,07-25
Investigation Review - Criminal Intake,0,08-25
Investigation Review - Criminal Intake,0,09-25
Investigation Review - Criminal Intake,0,10-25
Investigation Review - Criminal Intake,0,11-25
Investigation Review - Criminal Intake,0,12-25
Investigation Review - Criminal Intake,0,01-26
Investigation Review - Internal Affairs,0,01-25
Investigation Review - Internal Affairs,0,02-25
Investigation Review - Internal Affairs,0,03-25
Investigation Review - Internal Affairs,0,04-25
Investigation Review - Internal Affairs,0,05-25
Investigation Review - Internal Affairs,0,06-25
Investigation Review - Internal Affairs,0,07-25
Investigation Review - Internal Affairs,1,08-25
Investigation Review - Internal Affairs,0,09-25
Investigation Review - Internal Affairs,0,10-25
Investigation Review - Internal Affairs,0,11-25
Investigation Review - Internal Affairs,0,12-25
Investigation Review - Internal Affairs,1,01-26
Investigation Review - Overtime,3,01-25
Investigation Review - Overtime,2,02-25
Investigation Review - Overtime,2,03-25
Investigation Review - Overtime,2,04-25
Investigation Review - Overtime,0,05-25
Investigation Review - Overtime,1,06-25
Investigation Review - Overtime,1,07-25
Investigation Review - Overtime,0,08-25
Investigation Review - Overtime,3,09-25
Investigation Review - Overtime,0,10-25
Investigation Review - Overtime,0,11-25
Investigation Review - Overtime,0,12-25
Investigation Review - Overtime,0,01-26
Investigation Review - Second Hand Jewelry,0,01-25
Investigation Review - Second Hand Jewelry,0,02-25
Investigation Review - Second Hand Jewelry,0,03-25
Investigation Review - Second Hand Jewelry,0,04-25
Investigation Review - Second Hand Jewelry,0,05-25
Investigation Review - Second Hand Jewelry,0,06-25
Investigation Review - Second Hand Jewelry,0,07-25
Investigation Review - Second Hand Jewelry,0,08-25
Investigation Review - Second Hand Jewelry,0,09-25
Investigation Review - Second Hand Jewelry,0,10-25
Investigation Review - Second Hand Jewelry,0,11-25
Investigation Review - Second Hand Jewelry,0,12-25
Investigation Review - Second Hand Jewelry,0,01-26
Investigative Review - Threat Assessment,0,01-25
Investigative Review - Threat Assessment,0,02-25
Investigative Review - Threat Assessment,0,03-25
Investigative Review - Threat Assessment,0,04-25
Investigative Review - Threat Assessment,0,05-25
Investigative Review - Threat Assessment,0,06-25
Investigative Review - Threat Assessment,0,07-25
Investigative Review - Threat Assessment,0,08-25
Investigative Review - Threat Assessment,0,09-25
