Tracked Items,Month_MM_YY,Sum of Value
ABC Investigation(s),01-25,11
ABC Investigation(s),02-25,4
ABC Investigation(s),03-25,0
ABC Investigation(s),04-25,4
ABC Investigation(s),05-25,4
ABC Investigation(s),06-25,101
ABC Investigation(s),07-25,38
ABC Investigation(s),08-25,45
ABC Investigation(s),09-25,29
ABC Investigation(s),10-25,3
ABC Investigation(s),11-25,3
ABC Investigation(s),12-25,7
ABC Investigation(s),01-26,7
Aggravated Assault,01-25,2
Aggravated Assault,02-25,2
Aggravated Assault,03-25,1
Aggravated Assault,04-25,1
Aggravated Assault,05-25,0
Aggravated Assault,06-25,2
Aggravated Assault,07-25,3
Aggravated Assault,08-25,5
Aggravated Assault,09-25,0
Aggravated Assault,10-25,1
Aggravated Assault,11-25,1
Aggravated Assault,12-25,1
Aggravated Assault,01-26,2
Animal Cruelty,01-25,3
Animal Cruelty,02-25,2
Animal Cruelty,03-25,1
Animal Cruelty,04-25,0
Animal Cruelty,05-25,1
Animal Cruelty,06-25,1
Animal Cruelty,07-25,0
Animal Cruelty,08-25,0
Animal Cruelty,09-25,1
Animal Cruelty,10-25,0
Animal Cruelty,11-25,1
Animal Cruelty,12-25,0
Animal Cruelty,01-26,0
Arson,01-25,3
Arson,02-25,0
Arson,03-25,0
Arson,04-25,0
Arson,05-25,0
Arson,06-25,0
Arson,07-25,0
Arson,08-25,1
Arson,09-25,1
Arson,10-25,0
Arson,11-25,1
Arson,12-25,1
Arson,01-26,0
Assist Other Agency,01-25,3
Assist Other Agency,02-25,0
Assist Other Agency,03-25,0
Assist Other Agency,04-25,0
Assist Other Agency,05-25,0
Assist Other Agency,06-25,0
Assist Other Agency,07-25,1
Assist Other Agency,08-25,0
Assist Other Agency,09-25,0
Assist Other Agency,10-25,0
Assist Other Agency,11-25,0
Assist Other Agency,12-25,3
Assist Other Agency,01-26,0
Background Check(s),01-25,31
Background Check(s),02-25,38
Background Check(s),03-25,51
Background Check(s),04-25,59
Background Check(s),05-25,76
Background Check(s),06-25,26
Background Check(s),07-25,7
Background Check(s),08-25,2
Background Check(s),09-25,2
Background Check(s),10-25,73
Background Check(s),11-25,63
Background Check(s),12-25,34
Background Check(s),01-26,10
Bias,01-25,3
Bias,02-25,0
Bias,03-25,2
Bias,04-25,3
Bias,05-25,1
Bias,06-25,3
Bias,07-25,4
Bias,08-25,0
Bias,09-25,5
Bias,10-25,2
Bias,11-25,0
Bias,12-25,2
Bias,01-26,0
Burglary - Auto,01-25,0
Burglary - Auto,02-25,0
Burglary - Auto,03-25,6
Burglary - Auto,04-25,7
Burglary - Auto,05-25,2
Burglary - Auto,06-25,7
Burglary - Auto,07-25,11
Burglary - Auto,08-25,3
Burglary - Auto,09-25,1
Burglary - Auto,10-25,4
Burglary - Auto,11-25,3
Burglary - Auto,12-25,4
Burglary - Auto,01-26,1
Burglary - Commercial,01-25,0
Burglary - Commercial,02-25,0
Burglary - Commercial,03-25,1
Burglary - Commercial,04-25,1
Burglary - Commercial,05-25,0
Burglary - Commercial,06-25,0
Burglary - Commercial,07-25,3
Burglary - Commercial,08-25,1
Burglary - Commercial,09-25,1
Burglary - Commercial,10-25,5
Burglary - Commercial,11-25,0
Burglary - Commercial,12-25,2
Burglary - Commercial,01-26,1
Burglary - Residence,01-25,0
Burglary - Residence,02-25,0
Burglary - Residence,03-25,3
Burglary - Residence,04-25,5
Burglary - Residence,05-25,5
Burglary - Residence,06-25,3
Burglary - Residence,07-25,5
Burglary - Residence,08-25,1
Burglary - Residence,09-25,3
Burglary - Residence,10-25,1
Burglary - Residence,11-25,2
Burglary - Residence,12-25,5
Burglary - Residence,01-26,3
BWC Review(s),01-25,3
BWC Review(s),02-25,0
BWC Review(s),03-25,0
BWC Review(s),04-25,0
BWC Review(s),05-25,0
BWC Review(s),06-25,0
BWC Review(s),07-25,0
BWC Review(s),08-25,0
BWC Review(s),09-25,0
BWC Review(s),10-25,0
BWC Review(s),11-25,0
BWC Review(s),12-25,0
BWC Review(s),01-26,0
City Ordinance,01-25,3
City Ordinance,02-25,0
City Ordinance,03-25,1
City Ordinance,04-25,2
City Ordinance,05-25,0
City Ordinance,06-25,1
City Ordinance,07-25,1
City Ordinance,08-25,0
City Ordinance,09-25,0
