Tracked Items,Sum of Value,Month_MM_YY
Fire,3,01-25
Fire,0,02-25
Fire,0,03-25
Fire,0,04-25
Fire,0,05-25
Fire,0,06-25
Fire,0,07-25
Fire,0,08-25
Fire,0,09-25
Fire,0,10-25
Fire,0,11-25
Fire,0,12-25
Fire,0,01-26
Firearm Background Check(s),3,01-25
Firearm Background Check(s),0,02-25
Firearm Background Check(s),57,03-25
Firearm Background Check(s),59,04-25
Firearm Background Check(s),51,05-25
Firearm Background Check(s),39,06-25
Firearm Background Check(s),55,07-25
Firearm Background Check(s),51,08-25
Firearm Background Check(s),53,09-25
Firearm Background Check(s),44,10-25
Firearm Background Check(s),51,11-25
Firearm Background Check(s),59,12-25
Firearm Background Check(s),52,01-26
Firearm Investigation(s),36,01-25
Firearm Investigation(s),51,02-25
Firearm Investigation(s),0,03-25
Firearm Investigation(s),1,04-25
Firearm Investigation(s),1,05-25
Firearm Investigation(s),0,06-25
Firearm Investigation(s),1,07-25
Firearm Investigation(s),1,08-25
Firearm Investigation(s),1,09-25
Firearm Investigation(s),0,10-25
Firearm Investigation(s),1,11-25
Firearm Investigation(s),0,12-25
Firearm Investigation(s),0,01-26
Fraud,3,01-25
Fraud,14,02-25
Fraud,19,03-25
Fraud,10,04-25
Fraud,5,05-25
Fraud,13,06-25
Fraud,12,07-25
Fraud,9,08-25
Fraud,12,09-25
Fraud,6,10-25
Fraud,13,11-25
Fraud,4,12-25
Fraud,10,01-26
Generated Complaint(s),3,01-25
Generated Complaint(s),15,02-25
Generated Complaint(s),16,03-25
Generated Complaint(s),16,04-25
Generated Complaint(s),18,05-25
Generated Complaint(s),0,06-25
Generated Complaint(s),13,07-25
Generated Complaint(s),16,08-25
Generated Complaint(s),9,09-25
Generated Complaint(s),7,10-25
Generated Complaint(s),11,11-25
Generated Complaint(s),5,12-25
Generated Complaint(s),24,01-26
Harassment,3,01-25
Harassment,5,02-25
Harassment,4,03-25
Harassment,3,04-25
Harassment,5,05-25
Harassment,1,06-25
Harassment,9,07-25
Harassment,1,08-25
Harassment,3,09-25
Harassment,5,10-25
Harassment,2,11-25
Harassment,2,12-25
Harassment,0,01-26
Homicide,0,01-25
Homicide,0,02-25
Homicide,0,03-25
Homicide,0,04-25
Homicide,0,05-25
Homicide,0,06-25
Homicide,0,07-25
Homicide,0,08-25
Homicide,0,09-25
Homicide,0,10-25
Homicide,0,11-25
Homicide,0,12-25
Homicide,0,01-26
Kidnapping,0,01-25
Kidnapping,0,02-25
Kidnapping,0,03-25
Kidnapping,0,04-25
Kidnapping,0,05-25
Kidnapping,0,06-25
Kidnapping,0,07-25
Kidnapping,0,08-25
Kidnapping,0,09-25
Kidnapping,0,10-25
Kidnapping,0,11-25
Kidnapping,0,12-25
Kidnapping,1,01-26
Lewdness,0,01-25
Lewdness,0,02-25
Lewdness,0,03-25
