TrackedItem,Month_Year,Sum of Total
Arrest(s),01-25,0
Arrest(s),02-25,0
Arrest(s),03-25,0
Arrest(s),04-25,0
Arrest(s),05-25,0
Arrest(s),06-25,0
Arrest(s),07-25,0
Arrest(s),08-25,0
Arrest(s),09-25,0
Arrest(s),10-25,0
Arrest(s),11-25,0
Arrest(s),12-25,0
Arrest(s),01-26,0
Assist Other Bureau,01-25,0
Assist Other Bureau,02-25,0
Assist Other Bureau,03-25,0
Assist Other Bureau,04-25,0
Assist Other Bureau,05-25,0
Assist Other Bureau,06-25,0
Assist Other Bureau,07-25,0
Assist Other Bureau,08-25,0
Assist Other Bureau,09-25,0
Assist Other Bureau,10-25,0
Assist Other Bureau,11-25,0
Assist Other Bureau,12-25,0
Assist Other Bureau,01-26,0
Assist Outside Agency,01-25,1
Assist Outside Agency,02-25,0
Assist Outside Agency,03-25,0
Assist Outside Agency,04-25,0
Assist Outside Agency,05-25,0
Assist Outside Agency,06-25,0
Assist Outside Agency,07-25,0
Assist Outside Agency,08-25,0
Assist Outside Agency,09-25,0
Assist Outside Agency,10-25,0
Assist Outside Agency,11-25,0
Assist Outside Agency,12-25,0
Assist Outside Agency,01-26,1
BWC Review(s),01-25,0
BWC Review(s),02-25,0
BWC Review(s),03-25,0
BWC Review(s),04-25,0
BWC Review(s),05-25,0
BWC Review(s),06-25,0
BWC Review(s),07-25,0
BWC Review(s),08-25,0
BWC Review(s),09-25,0
BWC Review(s),10-25,0
BWC Review(s),11-25,0
BWC Review(s),12-25,0
BWC Review(s),01-26,4
CDS Seized,01-25,0
CDS Seized,02-25,0
CDS Seized,03-25,0
CDS Seized,04-25,0
CDS Seized,05-25,0
CDS Seized,06-25,0
CDS Seized,07-25,0
CDS Seized,08-25,0
CDS Seized,09-25,0
CDS Seized,10-25,0
CDS Seized,11-25,0
CDS Seized,12-25,0
CDS Seized,01-26,0
Community Outreach,01-25,0
Community Outreach,02-25,0
Community Outreach,03-25,0
Community Outreach,04-25,0
Community Outreach,05-25,0
Community Outreach,06-25,0
Community Outreach,07-25,0
Community Outreach,08-25,0
Community Outreach,09-25,0
Community Outreach,10-25,0
Community Outreach,11-25,0
Community Outreach,12-25,0
Community Outreach,01-26,0
Dignitary Protection,01-25,0
Dignitary Protection,02-25,0
Dignitary Protection,03-25,0
Dignitary Protection,04-25,0
Dignitary Protection,05-25,0
Dignitary Protection,06-25,0
Dignitary Protection,07-25,0
Dignitary Protection,08-25,0
Dignitary Protection,09-25,0
Dignitary Protection,10-25,0
Dignitary Protection,11-25,0
Dignitary Protection,12-25,0
Dignitary Protection,01-26,0
ESU OOS,01-25,0
ESU OOS,02-25,0
ESU OOS,03-25,0
ESU OOS,04-25,0
ESU OOS,05-25,0
ESU OOS,06-25,0
ESU OOS,07-25,0
ESU OOS,08-25,0
ESU OOS,09-25,0
ESU OOS,10-25,0
ESU OOS,11-25,0
ESU OOS,12-25,0
ESU OOS,01-26,0
ESU Single Operator,01-25,0
ESU Single Operator,02-25,0
ESU Single Operator,03-25,0
ESU Single Operator,04-25,0
ESU Single Operator,05-25,0
ESU Single Operator,06-25,0
ESU Single Operator,07-25,0
ESU Single Operator,08-25,0
ESU Single Operator,09-25,0
ESU Single Operator,10-25,0
ESU Single Operator,11-25,0
ESU Single Operator,12-25,0
ESU Single Operator,01-26,2
Forcible Entries,01-25,1
Forcible Entries,02-25,0
Forcible Entries,03-25,0
Forcible Entries,04-25,0
Forcible Entries,05-25,0
Forcible Entries,06-25,0
Forcible Entries,07-25,0
Forcible Entries,08-25,0
Forcible Entries,09-25,0
Forcible Entries,10-25,0
Forcible Entries,11-25,0
Forcible Entries,12-25,0
Forcible Entries,01-26,0
ICS Functions (IAPs/AARs),01-25,0
ICS Functions (IAPs/AARs),02-25,0
ICS Functions (IAPs/AARs),03-25,0
ICS Functions (IAPs/AARs),04-25,0
ICS Functions (IAPs/AARs),05-25,0
ICS Functions (IAPs/AARs),06-25,0
ICS Functions (IAPs/AARs),07-25,0
ICS Functions (IAPs/AARs),08-25,0
ICS Functions (IAPs/AARs),09-25,0
ICS Functions (IAPs/AARs),10-25,0
ICS Functions (IAPs/AARs),11-25,0
ICS Functions (IAPs/AARs),12-25,0
ICS Functions (IAPs/AARs),01-26,0
Instructor For Hpd Training,01-25,0
Instructor For Hpd Training,02-25,2
Instructor For Hpd Training,03-25,1
Instructor For Hpd Training,04-25,0
Instructor For Hpd Training,05-25,0
Instructor For Hpd Training,06-25,0
Instructor For Hpd Training,07-25,0
Instructor For Hpd Training,08-25,0
Instructor For Hpd Training,09-25,0
Instructor For Hpd Training,10-25,0
Instructor For Hpd Training,11-25,0
Instructor For Hpd Training,12-25,0
Instructor For Hpd Training,01-26,0
Moving Summonses,01-25,9
Moving Summonses,02-25,4
Moving Summonses,03-25,0
Moving Summonses,04-25,0
Moving Summonses,05-25,0
Moving Summonses,06-25,0
Moving Summonses,07-25,0
Moving Summonses,08-25,0
Moving Summonses,09-25,0
Moving Summonses,10-25,0
Moving Summonses,11-25,0
Moving Summonses,12-25,0
Moving Summonses,01-26,3
MV Lock Outs,01-25,7
MV Lock Outs,02-25,1
MV Lock Outs,03-25,0
MV Lock Outs,04-25,0
MV Lock Outs,05-25,0
MV Lock Outs,06-25,0
MV Lock Outs,07-25,0
MV Lock Outs,08-25,0
MV Lock Outs,09-25,0
MV Lock Outs,10-25,0
MV Lock Outs,11-25,0
MV Lock Outs,12-25,0
MV Lock Outs,01-26,8
MV Stops,01-25,5
MV Stops,02-25,4
MV Stops,03-25,0
MV Stops,04-25,0
MV Stops,05-25,0
MV Stops,06-25,0
MV Stops,07-25,0
MV Stops,08-25,0
