Tracked Items,Month,Sum of Total
Application(s) - Permit(s),01-25,52
Application(s) - Permit(s),02-25,46
Application(s) - Permit(s),03-25,60
Application(s) - Permit(s),04-25,70
Application(s) - Permit(s),05-25,87
Application(s) - Permit(s),06-25,127
Application(s) - Permit(s),07-25,52
Application(s) - Permit(s),08-25,60
Application(s) - Permit(s),09-25,34
Application(s) - Permit(s),10-25,100
Application(s) - Permit(s),11-25,58
Application(s) - Permit(s),12-25,39
Application(s) - Permit(s),01-26,64
Background Check(s),01-25,28
Background Check(s),02-25,24
Background Check(s),03-25,51
Background Check(s),04-25,24
Background Check(s),05-25,34
Background Check(s),06-25,28
Background Check(s),07-25,33
Background Check(s),08-25,42
Background Check(s),09-25,38
Background Check(s),10-25,48
Background Check(s),11-25,18
Background Check(s),12-25,23
Background Check(s),01-26,11
BWC Review(s),01-25,0
BWC Review(s),02-25,0
BWC Review(s),03-25,0
BWC Review(s),04-25,0
BWC Review(s),05-25,0
BWC Review(s),06-25,0
BWC Review(s),07-25,0
BWC Review(s),08-25,0
BWC Review(s),09-25,0
BWC Review(s),10-25,0
BWC Review(s),11-25,0
BWC Review(s),12-25,0
BWC Review(s),01-26,0
CCTV Video Download(s),01-25,9
CCTV Video Download(s),02-25,2
CCTV Video Download(s),03-25,1
CCTV Video Download(s),04-25,0
CCTV Video Download(s),05-25,0
CCTV Video Download(s),06-25,3
CCTV Video Download(s),07-25,1
CCTV Video Download(s),08-25,5
CCTV Video Download(s),09-25,0
CCTV Video Download(s),10-25,0
CCTV Video Download(s),11-25,2
CCTV Video Download(s),12-25,1
CCTV Video Download(s),01-26,3
Evidence - Destroyed,01-25,0
Evidence - Destroyed,02-25,9
Evidence - Destroyed,03-25,0
Evidence - Destroyed,04-25,89
Evidence - Destroyed,05-25,0
Evidence - Destroyed,06-25,34
Evidence - Destroyed,07-25,7
Evidence - Destroyed,08-25,1
Evidence - Destroyed,09-25,19
Evidence - Destroyed,10-25,9
Evidence - Destroyed,11-25,42
Evidence - Destroyed,12-25,1
Evidence - Destroyed,01-26,68
Evidence - Returned to Owner,01-25,6
Evidence - Returned to Owner,02-25,5
Evidence - Returned to Owner,03-25,9
Evidence - Returned to Owner,04-25,17
Evidence - Returned to Owner,05-25,7
Evidence - Returned to Owner,06-25,13
Evidence - Returned to Owner,07-25,9
Evidence - Returned to Owner,08-25,5
