Response Type,MM-YY,First Response_Time_MMSS
Emergency,01-25,3:03
Emergency,02-25,2:40
Emergency,03-25,3:01
Emergency,04-25,2:51
Emergency,05-25,2:52
Emergency,06-25,3:14
Emergency,07-25,3:15
Emergency,08-25,3:16
Emergency,09-25,3:02
Emergency,10-25,2:52
Emergency,11-25,3:00
Emergency,12-25,3:00
Emergency,01-26,2:54
Routine,01-25,2:45
Routine,02-25,3:00
Routine,03-25,3:09
Routine,04-25,3:27
Routine,05-25,3:36
Routine,06-25,3:27
Routine,07-25,3:40
Routine,08-25,3:45
Routine,09-25,3:35
Routine,10-25,3:29
Routine,11-25,3:44
Routine,12-25,3:26
Routine,01-26,3:34
Urgent,01-25,3:36
Urgent,02-25,3:40
Urgent,03-25,3:18
Urgent,04-25,3:21
Urgent,05-25,3:28
Urgent,06-25,3:17
Urgent,07-25,3:34
Urgent,08-25,3:26
Urgent,09-25,3:28
Urgent,10-25,3:32
Urgent,11-25,3:22
Urgent,12-25,3:13
Urgent,01-26,3:17
