Response Type,MM-YY,First Response_Time_MMSS
Emergency,01-25,2:54
Emergency,02-25,2:43
Emergency,03-25,3:01
Emergency,04-25,2:50
Emergency,05-25,2:51
Emergency,06-25,3:05
Emergency,07-25,2:47
Emergency,08-25,2:51
Emergency,09-25,2:51
Emergency,10-25,2:41
Emergency,11-25,2:51
Emergency,12-25,2:52
Emergency,01-26,3:00
Routine,01-25,2:04
Routine,02-25,2:26
Routine,03-25,2:54
Routine,04-25,3:02
Routine,05-25,3:17
Routine,06-25,3:35
Routine,07-25,3:26
Routine,08-25,3:30
Routine,09-25,3:43
Routine,10-25,3:49
Routine,11-25,3:43
Routine,12-25,3:18
Routine,01-26,3:33
Urgent,01-25,3:21
Urgent,02-25,3:39
Urgent,03-25,3:28
Urgent,04-25,3:41
Urgent,05-25,3:41
Urgent,06-25,3:37
Urgent,07-25,3:50
Urgent,08-25,3:34
Urgent,09-25,3:34
Urgent,10-25,3:38
Urgent,11-25,3:35
Urgent,12-25,3:25
Urgent,01-26,3:46
