Response Type,MM-YY,First Response_Time_MMSS
Emergency,01-25,5:04
Emergency,02-25,4:50
Emergency,03-25,5:05
Emergency,04-25,5:02
Emergency,05-25,4:48
Emergency,06-25,5:06
Emergency,07-25,5:12
Emergency,08-25,5:10
Emergency,09-25,5:15
Emergency,10-25,4:48
Emergency,11-25,5:08
Emergency,12-25,5:08
Emergency,01-26,4:55
Routine,01-25,3:41
Routine,02-25,3:57
Routine,03-25,4:49
Routine,04-25,5:25
Routine,05-25,5:24
Routine,06-25,5:17
Routine,07-25,5:29
Routine,08-25,5:29
Routine,09-25,5:40
Routine,10-25,5:38
Routine,11-25,5:34
Routine,12-25,5:13
Routine,01-26,5:27
Urgent,01-25,5:37
Urgent,02-25,5:55
Urgent,03-25,5:25
Urgent,04-25,5:30
Urgent,05-25,5:32
Urgent,06-25,5:30
Urgent,07-25,5:31
Urgent,08-25,5:34
Urgent,09-25,5:45
Urgent,10-25,5:33
Urgent,11-25,5:21
Urgent,12-25,5:13
Urgent,01-26,5:39
