Tracked Items ,Sum of Value,Month_MM_YY
Arrests,0,01-25
Arrests,1,02-25
Arrests,0,03-25
Arrests,1,04-25
Arrests,0,05-25
Arrests,0,06-25
Arrests,0,07-25
Arrests,0,08-25
Arrests,1,09-25
Arrests,1,10-25
Arrests,1,11-25
Arrests,0,12-25
Arrests,0,01-26
Arson,0,01-25
Arson,1,02-25
Arson,0,03-25
Arson,1,04-25
Arson,0,05-25
Arson,0,06-25
Arson,0,07-25
Arson,0,08-25
Arson,0,09-25
Arson,0,10-25
Arson,0,11-25
Arson,0,12-25
Arson,0,01-26
Assaults,0,01-25
Assaults,3,02-25
Assaults,1,03-25
Assaults,0,04-25
Assaults,3,05-25
Assaults,3,06-25
Assaults,3,07-25
Assaults,0,08-25
Assaults,5,09-25
Assaults,0,10-25
Assaults,5,11-25
Assaults,4,12-25
Assaults,1,01-26
Burglary,0,01-25
Burglary,0,02-25
Burglary,0,03-25
Burglary,0,04-25
Burglary,0,05-25
Burglary,0,06-25
Burglary,0,07-25
Burglary,0,08-25
Burglary,1,09-25
Burglary,0,10-25
Burglary,0,11-25
Burglary,0,12-25
Burglary,0,01-26
BWC Review(s),0,01-25
BWC Review(s),0,02-25
BWC Review(s),0,03-25
BWC Review(s),0,04-25
BWC Review(s),0,05-25
BWC Review(s),0,06-25
BWC Review(s),0,07-25
BWC Review(s),0,08-25
BWC Review(s),0,09-25
BWC Review(s),0,10-25
BWC Review(s),0,11-25
BWC Review(s),0,12-25
BWC Review(s),0,01-26
Calls for Service,0,01-25
Calls for Service,0,02-25
Calls for Service,1,03-25
Calls for Service,0,04-25
Calls for Service,4,05-25
Calls for Service,2,06-25
Calls for Service,10,07-25
Calls for Service,3,08-25
Calls for Service,2,09-25
Calls for Service,0,10-25
Calls for Service,2,11-25
Calls for Service,1,12-25
Calls for Service,2,01-26
CDS,1,01-25
CDS,0,02-25
CDS,0,03-25
CDS,0,04-25
CDS,0,05-25
CDS,0,06-25
CDS,0,07-25
CDS,0,08-25
CDS,1,09-25
CDS,0,10-25
CDS,0,11-25
CDS,0,12-25
CDS,0,01-26
Child Abuse,0,01-25
Child Abuse,0,02-25
Child Abuse,0,03-25
Child Abuse,3,04-25
Child Abuse,1,05-25
Child Abuse,2,06-25
Child Abuse,1,07-25
Child Abuse,0,08-25
Child Abuse,3,09-25
Child Abuse,4,10-25
Child Abuse,1,11-25
Child Abuse,0,12-25
Child Abuse,0,01-26
Child Endangerment,0,01-25
Child Endangerment,0,02-25
Child Endangerment,0,03-25
Child Endangerment,0,04-25
Child Endangerment,0,05-25
Child Endangerment,0,06-25
Child Endangerment,0,07-25
Child Endangerment,0,08-25
Child Endangerment,1,09-25
Child Endangerment,1,10-25
Child Endangerment,1,11-25
Child Endangerment,0,12-25
Child Endangerment,1,01-26
Criminal Mischief,0,01-25
Criminal Mischief,0,02-25
Criminal Mischief,0,03-25
Criminal Mischief,0,04-25
Criminal Mischief,0,05-25
Criminal Mischief,0,06-25
Criminal Mischief,0,07-25
Criminal Mischief,0,08-25
Criminal Mischief,1,09-25
Criminal Mischief,0,10-25
Criminal Mischief,1,11-25
Criminal Mischief,0,12-25
Criminal Mischief,0,01-26
Curbside Warning,0,01-25
Curbside Warning,0,02-25
Curbside Warning,0,03-25
Curbside Warning,0,04-25
Curbside Warning,0,05-25
Curbside Warning,0,06-25
Curbside Warning,0,07-25
Curbside Warning,0,08-25
Curbside Warning,0,09-25
Curbside Warning,0,10-25
Curbside Warning,0,11-25
Curbside Warning,0,12-25
Curbside Warning,0,01-26
Cyber Harassment,0,01-25
Cyber Harassment,0,02-25
Cyber Harassment,1,03-25
Cyber Harassment,0,04-25
Cyber Harassment,1,05-25
Cyber Harassment,0,06-25
Cyber Harassment,0,07-25
Cyber Harassment,0,08-25
Cyber Harassment,1,09-25
Cyber Harassment,0,10-25
Cyber Harassment,2,11-25
Cyber Harassment,1,12-25
Cyber Harassment,0,01-26
DCP&P Notification,0,01-25
DCP&P Notification,0,02-25
DCP&P Notification,0,03-25
DCP&P Notification,2,04-25
DCP&P Notification,1,05-25
DCP&P Notification,1,06-25
DCP&P Notification,9,07-25
DCP&P Notification,1,08-25
DCP&P Notification,2,09-25
DCP&P Notification,2,10-25
DCP&P Notification,2,11-25
DCP&P Notification,1,12-25
DCP&P Notification,2,01-26
DCP&P Referral(s),0,01-25
DCP&P Referral(s),0,02-25
DCP&P Referral(s),0,03-25
DCP&P Referral(s),0,04-25
DCP&P Referral(s),0,05-25
DCP&P Referral(s),0,06-25
DCP&P Referral(s),0,07-25
DCP&P Referral(s),0,08-25
DCP&P Referral(s),0,09-25
DCP&P Referral(s),0,10-25
DCP&P Referral(s),0,11-25
DCP&P Referral(s),0,12-25
DCP&P Referral(s),0,01-26
DV Offenses,0,01-25
DV Offenses,0,02-25
DV Offenses,0,03-25
DV Offenses,0,04-25
DV Offenses,0,05-25
DV Offenses,2,06-25
DV Offenses,0,07-25
DV Offenses,0,08-25
DV Offenses,0,09-25
DV Offenses,0,10-25
DV Offenses,0,11-25
DV Offenses,0,12-25
DV Offenses,0,01-26
EDP Juvenile,0,01-25
EDP Juvenile,0,02-25
EDP Juvenile,0,03-25
EDP Juvenile,1,04-25
EDP Juvenile,1,05-25
EDP Juvenile,0,06-25
EDP Juvenile,0,07-25
EDP Juvenile,0,08-25
EDP Juvenile,0,09-25
EDP Juvenile,0,10-25
EDP Juvenile,0,11-25
EDP Juvenile,2,12-25
EDP Juvenile,0,01-26
Fraud,0,01-25
Fraud,0,02-25
Fraud,0,03-25
Fraud,0,04-25
Fraud,0,05-25
Fraud,0,06-25
Fraud,0,07-25
Fraud,0,08-25
Fraud,0,09-25
Fraud,0,10-25
Fraud,0,11-25
Fraud,0,12-25
Fraud,0,01-26
Handle with Care Notifications,0,01-25
Handle with Care Notifications,0,02-25
Handle with Care Notifications,0,03-25
Handle with Care Notifications,0,04-25
Handle with Care Notifications,2,05-25
Handle with Care Notifications,0,06-25
Handle with Care Notifications,0,07-25
Handle with Care Notifications,0,08-25
Handle with Care Notifications,0,09-25
Handle with Care Notifications,1,10-25
Handle with Care Notifications,1,11-25
Handle with Care Notifications,0,12-25
Handle with Care Notifications,1,01-26
Harassment,0,01-25
Harassment,0,02-25
Harassment,0,03-25
Harassment,0,04-25
Harassment,1,05-25
Harassment,1,06-25
Harassment,0,07-25
Harassment,0,08-25
Harassment,0,09-25
Harassment,0,10-25
Harassment,0,11-25
Harassment,0,12-25
Harassment,0,01-26
Juvenile Complaints,0,01-25
Juvenile Complaints,0,02-25
Juvenile Complaints,0,03-25
Juvenile Complaints,0,04-25
Juvenile Complaints,0,05-25
Juvenile Complaints,0,06-25
Juvenile Complaints,0,07-25
Juvenile Complaints,0,08-25
Juvenile Complaints,0,09-25
Juvenile Complaints,1,10-25
Juvenile Complaints,2,11-25
Juvenile Complaints,0,12-25
Juvenile Complaints,0,01-26
Juvenile Incident,0,01-25
Juvenile Incident,0,02-25
Juvenile Incident,0,03-25
Juvenile Incident,0,04-25
Juvenile Incident,0,05-25
Juvenile Incident,0,06-25
Juvenile Incident,0,07-25
Juvenile Incident,0,08-25
Juvenile Incident,0,09-25
Juvenile Incident,0,10-25
Juvenile Incident,0,11-25
Juvenile Incident,0,12-25
Juvenile Incident,0,01-26
Juvenile Short-Term Custody,0,01-25
Juvenile Short-Term Custody,0,02-25
Juvenile Short-Term Custody,0,03-25
