Tracked Items,First Value,Period
Motor Vehicle Crash - Bicyclist Struck - P.R.,1,01-25
Motor Vehicle Crash - Bicyclist Struck - P.R.,0,02-25
Motor Vehicle Crash - Bicyclist Struck - P.R.,0,03-25
Motor Vehicle Crash - Bicyclist Struck - P.R.,21,04-25
Motor Vehicle Crash - Bicyclist Struck - P.R.,1,05-25
Motor Vehicle Crash - Bicyclist Struck - P.R.,2,06-25
Motor Vehicle Crash - Bicyclist Struck - P.R.,3,07-25
Motor Vehicle Crash - Bicyclist Struck - P.R.,7,08-25
Motor Vehicle Crash - Bicyclist Struck - P.R.,2,09-25
Motor Vehicle Crash - Bicyclist Struck - P.R.,3,10-25
Motor Vehicle Crash - Bicyclist Struck - P.R.,2,11-25
Motor Vehicle Crash - Bicyclist Struck - P.R.,1,12-25
Motor Vehicle Crash - Bicyclist Struck - P.R.,0,01-26
Motor Vehicle Crash - Bicyclist Struck - T.R.,0,01-25
Motor Vehicle Crash - Bicyclist Struck - T.R.,0,02-25
Motor Vehicle Crash - Bicyclist Struck - T.R.,0,03-25
Motor Vehicle Crash - Bicyclist Struck - T.R.,0,04-25
Motor Vehicle Crash - Bicyclist Struck - T.R.,0,05-25
Motor Vehicle Crash - Bicyclist Struck - T.R.,0,06-25
Motor Vehicle Crash - Bicyclist Struck - T.R.,1,07-25
Motor Vehicle Crash - Bicyclist Struck - T.R.,1,08-25
Motor Vehicle Crash - Bicyclist Struck - T.R.,0,09-25
Motor Vehicle Crash - Bicyclist Struck - T.R.,1,10-25
Motor Vehicle Crash - Bicyclist Struck - T.R.,0,11-25
Motor Vehicle Crash - Bicyclist Struck - T.R.,0,12-25
Motor Vehicle Crash - Bicyclist Struck - T.R.,0,01-26
Motor Vehicle Crash - Hit And Run - P.R.,50,01-25
Motor Vehicle Crash - Hit And Run - P.R.,31,02-25
Motor Vehicle Crash - Hit And Run - P.R.,38,03-25
Motor Vehicle Crash - Hit And Run - P.R.,0,04-25
Motor Vehicle Crash - Hit And Run - P.R.,41,05-25
Motor Vehicle Crash - Hit And Run - P.R.,42,06-25
Motor Vehicle Crash - Hit And Run - P.R.,38,07-25
Motor Vehicle Crash - Hit And Run - P.R.,43,08-25
Motor Vehicle Crash - Hit And Run - P.R.,42,09-25
Motor Vehicle Crash - Hit And Run - P.R.,38,10-25
Motor Vehicle Crash - Hit And Run - P.R.,35,11-25
Motor Vehicle Crash - Hit And Run - P.R.,38,12-25
Motor Vehicle Crash - Hit And Run - P.R.,37,01-26
Motor Vehicle Crash - Hit And Run - T.R.,0,01-25
Motor Vehicle Crash - Hit And Run - T.R.,0,02-25
Motor Vehicle Crash - Hit And Run - T.R.,0,03-25
Motor Vehicle Crash - Hit And Run - T.R.,0,04-25
Motor Vehicle Crash - Hit And Run - T.R.,1,05-25
Motor Vehicle Crash - Hit And Run - T.R.,0,06-25
Motor Vehicle Crash - Hit And Run - T.R.,1,07-25
Motor Vehicle Crash - Hit And Run - T.R.,2,08-25
Motor Vehicle Crash - Hit And Run - T.R.,1,09-25
Motor Vehicle Crash - Hit And Run - T.R.,0,10-25
Motor Vehicle Crash - Hit And Run - T.R.,0,11-25
Motor Vehicle Crash - Hit And Run - T.R.,0,12-25
Motor Vehicle Crash - Hit And Run - T.R.,0,01-26
Motor Vehicle Crash - P.R.,149,01-25
Motor Vehicle Crash - P.R.,117,02-25
Motor Vehicle Crash - P.R.,122,03-25
Motor Vehicle Crash - P.R.,185,04-25
Motor Vehicle Crash - P.R.,222,05-25
Motor Vehicle Crash - P.R.,232,06-25
Motor Vehicle Crash - P.R.,235,07-25
Motor Vehicle Crash - P.R.,176,08-25
Motor Vehicle Crash - P.R.,205,09-25
Motor Vehicle Crash - P.R.,227,10-25
Motor Vehicle Crash - P.R.,215,11-25
Motor Vehicle Crash - P.R.,202,12-25
Motor Vehicle Crash - P.R.,216,01-26
Motor Vehicle Crash - Pedestrian Struck - P.R.,12,01-25
Motor Vehicle Crash - Pedestrian Struck - P.R.,9,02-25
Motor Vehicle Crash - Pedestrian Struck - P.R.,11,03-25
Motor Vehicle Crash - Pedestrian Struck - P.R.,22,04-25
Motor Vehicle Crash - Pedestrian Struck - P.R.,6,05-25
Motor Vehicle Crash - Pedestrian Struck - P.R.,4,06-25
Motor Vehicle Crash - Pedestrian Struck - P.R.,2,07-25
Motor Vehicle Crash - Pedestrian Struck - P.R.,8,08-25
Motor Vehicle Crash - Pedestrian Struck - P.R.,5,09-25
Motor Vehicle Crash - Pedestrian Struck - P.R.,15,10-25
Motor Vehicle Crash - Pedestrian Struck - P.R.,8,11-25
